z,dz,e,ei,u
5.070,-0.070,-0.000,0.175,0.526
5.069,-0.069,-0.000,0.175,0.526
5.069,-0.069,-0.000,0.175,0.526
5.068,-0.068,-0.000,0.175,0.525
5.067,-0.067,-0.000,0.175,0.525
5.067,-0.067,-0.000,0.175,0.525
5.066,-0.066,-0.000,0.175,0.525
5.065,-0.065,-0.000,0.175,0.525
5.065,-0.065,-0.000,0.175,0.525
5.064,-0.064,-0.000,0.175,0.525
5.063,-0.063,-0.000,0.175,0.525
5.063,-0.063,-0.000,0.175,0.525
5.062,-0.062,-0.000,0.175,0.525
5.061,-0.061,-0.000,0.175,0.525
5.061,-0.061,-0.000,0.175,0.525
5.060,-0.060,-0.000,0.175,0.525
5.060,-0.060,-0.000,0.175,0.525
5.059,-0.059,-0.000,0.175,0.525
5.058,-0.058,-0.000,0.175,0.525
5.058,-0.058,-0.000,0.175,0.525
5.057,-0.057,-0.000,0.175,0.525
5.057,-0.057,-0.000,0.175,0.525
5.056,-0.056,-0.000,0.175,0.525
5.056,-0.056,-0.000,0.175,0.525
5.055,-0.055,-0.000,0.175,0.525
5.054,-0.054,-0.000,0.175,0.525
5.054,-0.054,-0.000,0.175,0.525
5.053,-0.053,-0.000,0.175,0.525
5.053,-0.053,-0.000,0.175,0.525
5.052,-0.052,-0.000,0.175,0.525
5.052,-0.052,-0.000,0.175,0.525
5.051,-0.051,-0.000,0.175,0.525
5.051,-0.051,-0.000,0.175,0.525
5.050,-0.050,-0.000,0.175,0.525
5.050,-0.050,-0.000,0.175,0.525
5.049,-0.049,-0.000,0.175,0.525
5.049,-0.049,-0.000,0.175,0.525
5.048,-0.048,-0.000,0.175,0.525
5.048,-0.048,-0.000,0.175,0.525
5.047,-0.047,-0.000,0.175,0.525
5.047,-0.047,-0.000,0.175,0.525
5.046,-0.046,-0.000,0.175,0.525
5.046,-0.046,-0.000,0.175,0.525
5.045,-0.045,-0.000,0.175,0.525
5.045,-0.045,-0.000,0.175,0.525
5.045,-0.045,-0.000,0.175,0.525
5.044,-0.044,-0.000,0.175,0.525
5.044,-0.044,-0.000,0.175,0.525
5.043,-0.043,-0.000,0.175,0.525
5.043,-0.043,-0.000,0.175,0.525
5.042,-0.042,-0.000,0.175,0.525
5.042,-0.042,-0.000,0.175,0.525
5.042,-0.042,-0.000,0.175,0.525
5.041,-0.041,-0.000,0.175,0.525
5.041,-0.041,-0.000,0.175,0.525
5.040,-0.040,-0.000,0.175,0.525
5.040,-0.040,-0.000,0.175,0.525
5.039,-0.039,-0.000,0.175,0.525
5.039,-0.039,-0.000,0.175,0.525
5.039,-0.039,-0.000,0.175,0.525
5.038,-0.038,-0.000,0.175,0.525
5.038,-0.038,-0.000,0.175,0.525
5.038,-0.038,-0.000,0.175,0.525
5.037,-0.037,-0.000,0.175,0.525
5.037,-0.037,-0.000,0.175,0.525
5.036,-0.036,-0.000,0.175,0.525
5.036,-0.036,-0.000,0.175,0.525
5.036,-0.036,-0.000,0.175,0.525
5.035,-0.035,-0.000,0.175,0.525
5.035,-0.035,-0.000,0.175,0.525
5.035,-0.035,-0.000,0.175,0.525
5.034,-0.034,-0.000,0.175,0.525
5.034,-0.034,-0.000,0.175,0.525
5.034,-0.034,-0.000,0.175,0.525
5.033,-0.033,-0.000,0.175,0.525
5.033,-0.033,-0.000,0.175,0.525
5.033,-0.033,-0.000,0.175,0.525
5.032,-0.032,-0.000,0.175,0.525
5.032,-0.032,-0.000,0.175,0.525
5.032,-0.032,-0.000,0.175,0.525
5.031,-0.031,-0.000,0.175,0.525
5.031,-0.031,-0.000,0.175,0.525
5.031,-0.031,-0.000,0.175,0.524
5.030,-0.030,-0.000,0.175,0.524
5.030,-0.030,-0.000,0.175,0.524
5.030,-0.030,-0.000,0.175,0.524
5.029,-0.029,-0.000,0.175,0.524
5.029,-0.029,-0.000,0.175,0.524
5.029,-0.029,-0.000,0.175,0.524
5.029,-0.029,-0.000,0.175,0.524
5.028,-0.028,-0.000,0.175,0.524
5.028,-0.028,-0.000,0.175,0.524
5.028,-0.028,-0.000,0.175,0.524
5.027,-0.027,-0.000,0.175,0.524
5.027,-0.027,-0.000,0.175,0.524
5.027,-0.027,-0.000,0.175,0.524
5.027,-0.027,-0.000,0.175,0.524
5.026,-0.026,-0.000,0.175,0.524
5.026,-0.026,-0.000,0.175,0.524
5.026,-0.026,-0.000,0.175,0.524
5.026,-0.026,-0.000,0.175,0.524
5.025,-0.025,-0.000,0.175,0.524
5.025,-0.025,-0.000,0.175,0.524
5.025,-0.025,-0.000,0.175,0.524
5.025,-0.025,-0.000,0.175,0.524
5.024,-0.024,-0.000,0.175,0.524
5.024,-0.024,-0.000,0.175,0.524
5.024,-0.024,-0.000,0.175,0.524
5.024,-0.024,-0.000,0.175,0.524
