z,dz,e,ei,u
5.767,-0.767,-0.000,0.181,0.544
5.759,-0.759,-0.000,0.181,0.543
5.752,-0.752,-0.000,0.181,0.543
5.744,-0.744,-0.000,0.181,0.543
5.737,-0.737,-0.000,0.181,0.543
5.729,-0.729,-0.000,0.181,0.543
5.722,-0.722,-0.000,0.181,0.543
5.715,-0.715,-0.000,0.181,0.542
5.708,-0.708,-0.000,0.181,0.542
5.701,-0.701,-0.000,0.181,0.542
5.694,-0.694,-0.000,0.181,0.542
5.687,-0.687,-0.000,0.181,0.542
5.680,-0.680,-0.000,0.180,0.541
5.673,-0.673,-0.000,0.180,0.541
5.666,-0.666,-0.000,0.180,0.541
5.660,-0.660,-0.000,0.180,0.541
5.653,-0.653,-0.000,0.180,0.541
5.647,-0.646,-0.000,0.180,0.541
5.640,-0.640,-0.000,0.180,0.540
5.634,-0.634,-0.000,0.180,0.540
5.627,-0.627,-0.000,0.180,0.540
5.621,-0.621,-0.000,0.180,0.540
5.615,-0.615,-0.000,0.180,0.540
5.609,-0.609,-0.000,0.180,0.540
5.603,-0.603,-0.000,0.180,0.540
5.597,-0.597,-0.000,0.180,0.539
5.591,-0.591,-0.000,0.180,0.539
5.585,-0.585,-0.000,0.180,0.539
5.579,-0.579,-0.000,0.180,0.539
5.573,-0.573,-0.000,0.180,0.539
5.567,-0.567,-0.000,0.180,0.539
5.562,-0.562,-0.000,0.180,0.539
5.556,-0.556,-0.000,0.179,0.538
5.550,-0.550,-0.000,0.179,0.538
5.545,-0.545,-0.000,0.179,0.538
5.540,-0.540,-0.000,0.179,0.538
5.534,-0.534,-0.000,0.179,0.538
5.529,-0.529,-0.000,0.179,0.538
5.524,-0.523,-0.000,0.179,0.537
5.518,-0.518,-0.000,0.179,0.537
5.513,-0.513,-0.000,0.179,0.537
5.508,-0.508,-0.000,0.179,0.537
5.503,-0.503,-0.000,0.179,0.537
5.498,-0.498,-0.000,0.179,0.537
5.493,-0.493,-0.000,0.179,0.537
5.488,-0.488,-0.000,0.179,0.537
5.483,-0.483,-0.000,0.179,0.536
5.478,-0.478,-0.000,0.179,0.536
5.473,-0.473,-0.000,0.179,0.536
5.469,-0.469,-0.000,0.179,0.536
5.464,-0.464,-0.000,0.179,0.536
5.459,-0.459,-0.000,0.179,0.536
5.455,-0.455,-0.000,0.179,0.536
5.450,-0.450,-0.000,0.179,0.536
5.446,-0.446,-0.000,0.178,0.535
5.441,-0.441,-0.000,0.178,0.535
5.437,-0.437,-0.000,0.178,0.535
5.433,-0.432,-0.000,0.178,0.535
