z,dz,e,ei,u
6.045,-1.046,0.000,0.183,0.550
6.035,-1.035,0.001,0.184,0.552
6.024,-1.025,0.000,0.184,0.552
6.014,-1.014,-0.001,0.183,0.550
6.004,-1.004,-0.001,0.183,0.548
5.994,-0.994,-0.000,0.183,0.548
5.984,-0.985,0.000,0.183,0.550
5.974,-0.975,0.000,0.183,0.550
5.965,-0.964,-0.000,0.183,0.549
5.955,-0.954,-0.001,0.183,0.548
5.945,-0.945,-0.000,0.182,0.547
5.936,-0.936,0.000,0.183,0.548
5.927,-0.927,0.000,0.183,0.549
5.917,-0.917,-0.000,0.183,0.549
5.908,-0.908,-0.000,0.182,0.547
5.899,-0.899,-0.000,0.182,0.546
5.890,-0.890,0.000,0.182,0.546
5.881,-0.881,0.000,0.182,0.547
5.872,-0.872,0.000,0.182,0.547
5.864,-0.863,-0.000,0.182,0.546
5.855,-0.855,-0.000,0.182,0.545
5.846,-0.846,-0.000,0.182,0.545
5.838,-0.838,0.000,0.182,0.546
5.830,-0.830,0.000,0.182,0.546
5.821,-0.821,-0.000,0.182,0.546
5.813,-0.813,-0.000,0.182,0.545
5.805,-0.805,-0.000,0.181,0.544
5.797,-0.797,0.000,0.181,0.544
5.789,-0.789,0.000,0.182,0.545
5.781,-0.781,-0.000,0.182,0.545
5.773,-0.773,-0.000,0.181,0.544
5.765,-0.765,-0.000,0.181,0.543
5.758,-0.758,-0.000,0.181,0.543
5.750,-0.750,0.000,0.181,0.544
5.743,-0.743,0.000,0.181,0.544
5.735,-0.735,-0.000,0.181,0.543
5.728,-0.728,-0.000,0.181,0.542
5.721,-0.721,-0.000,0.181,0.542
5.713,-0.714,0.000,0.181,0.542
5.706,-0.706,0.000,0.181,0.543
5.699,-0.699,-0.000,0.181,0.542
5.692,-0.692,-0.000,0.181,0.542
5.685,-0.685,-0.000,0.180,0.541
5.679,-0.679,-0.000,0.180,0.541
5.672,-0.672,0.000,0.181,0.542
5.665,-0.665,-0.000,0.181,0.542
5.658,-0.658,-0.000,0.180,0.541
5.652,-0.652,-0.000,0.180,0.541
5.645,-0.645,-0.000,0.180,0.540
5.639,-0.639,0.000,0.180,0.541
5.632,-0.632,0.000,0.180,0.541
5.626,-0.626,-0.000,0.180,0.540
5.620,-0.620,-0.000,0.180,0.540
5.614,-0.614,-0.000,0.180,0.540
5.608,-0.608,-0.000,0.180,0.540
5.601,-0.601,0.000,0.180,0.540
5.595,-0.595,-0.000,0.180,0.540
5.589,-0.589,-0.000,0.180,0.539
5.584,-0.583,-0.000,0.180,0.539
5.578,-0.578,-0.000,0.180,0.539
5.572,-0.572,0.000,0.180,0.539
5.566,-0.566,0.000,0.180,0.539
5.561,-0.561,-0.000,0.180,0.539
5.555,-0.555,-0.000,0.179,0.538
5.549,-0.549,-0.000,0.179,0.538
5.544,-0.544,-0.000,0.179,0.538
5.539,-0.539,0.000,0.179,0.538
5.533,-0.533,-0.000,0.179,0.538
5.528,-0.528,-0.000,0.179,0.538
5.523,-0.522,-0.000,0.179,0.537
5.517,-0.517,-0.000,0.179,0.537
5.512,-0.512,0.000,0.179,0.537
5.507,-0.507,-0.000,0.179,0.537
5.502,-0.502,-0.000,0.179,0.537
5.497,-0.497,-0.000,0.179,0.537
5.492,-0.492,-0.000,0.179,0.537
5.487,-0.487,-0.000,0.179,0.537
5.482,-0.482,-0.000,0.179,0.537
5.477,-0.477,-0.000,0.179,0.536
5.473,-0.472,-0.000,0.179,0.536
5.468,-0.468,-0.000,0.179,0.536
5.463,-0.463,-0.000,0.179,0.536
5.459,-0.459,-0.000,0.179,0.536
5.454,-0.454,-0.000,0.179,0.536
5.449,-0.449,-0.000,0.179,0.536
5.445,-0.445,-0.000,0.178,0.535
5.440,-0.440,-0.000,0.178,0.535
5.436,-0.436,-0.000,0.178,0.535
5.432,-0.432,-0.000,0.178,0.535
5.427,-0.427,-0.000,0.178,0.535
5.423,-0.423,-0.000,0.178,0.535
5.419,-0.419,-0.000,0.178,0.535
5.415,-0.415,-0.000,0.178,0.535
5.411,-0.411,-0.000,0.178,0.535
5.406,-0.406,-0.000,0.178,0.534
5.402,-0.402,-0.000,0.178,0.534
5.398,-0.398,-0.000,0.178,0.534
5.394,-0.394,-0.000,0.178,0.534
5.390,-0.390,-0.000,0.178,0.534
5.387,-0.386,-0.000,0.178,0.534
5.383,-0.383,-0.000,0.178,0.534
5.379,-0.379,-0.000,0.178,0.534
5.375,-0.375,-0.000,0.178,0.534
5.371,-0.371,-0.000,0.178,0.533
5.368,-0.368,-0.000,0.178,0.533
5.364,-0.364,-0.000,0.178,0.533
5.360,-0.360,-0.000,0.178,0.533
5.357,-0.357,-0.000,0.178,0.533
5.353,-0.353,-0.000,0.178,0.533
