z,dz,e,ei,u
4.709,0.291,0.000,0.172,0.516
4.712,0.288,0.000,0.172,0.516
4.715,0.285,0.000,0.172,0.516
4.718,0.282,-0.000,0.172,0.516
4.721,0.279,-0.000,0.172,0.516
4.723,0.277,0.000,0.172,0.516
4.726,0.274,0.000,0.172,0.516
4.729,0.271,0.000,0.172,0.517
4.732,0.268,0.000,0.172,0.517
4.734,0.266,-0.000,0.172,0.516
4.737,0.263,0.000,0.172,0.516
4.740,0.260,0.000,0.172,0.517
4.742,0.258,0.000,0.172,0.517
4.745,0.255,0.000,0.172,0.517
4.747,0.253,-0.000,0.172,0.517
4.750,0.250,-0.000,0.172,0.517
4.752,0.248,0.000,0.172,0.517
4.755,0.245,0.000,0.172,0.517
4.757,0.243,0.000,0.172,0.517
4.760,0.240,0.000,0.172,0.517
4.762,0.238,-0.000,0.172,0.517
4.764,0.236,0.000,0.172,0.517
4.767,0.233,0.000,0.172,0.517
4.769,0.231,0.000,0.173,0.518
4.771,0.229,0.000,0.173,0.518
4.774,0.226,0.000,0.173,0.518
4.776,0.224,-0.000,0.173,0.518
4.778,0.222,0.000,0.173,0.518
4.780,0.220,0.000,0.173,0.518
4.783,0.217,0.000,0.173,0.518
4.785,0.215,0.000,0.173,0.518
4.787,0.213,-0.000,0.173,0.518
4.789,0.211,0.000,0.173,0.518
4.791,0.209,0.000,0.173,0.518
4.793,0.207,0.000,0.173,0.518
4.795,0.205,0.000,0.173,0.518
4.797,0.203,0.000,0.173,0.518
4.799,0.201,-0.000,0.173,0.518
4.801,0.199,0.000,0.173,0.518
4.803,0.197,0.000,0.173,0.518
4.805,0.195,0.000,0.173,0.519
4.807,0.193,0.000,0.173,0.519
4.809,0.191,0.000,0.173,0.519
4.811,0.189,0.000,0.173,0.519
4.813,0.187,0.000,0.173,0.519
4.815,0.185,0.000,0.173,0.519
4.817,0.183,0.000,0.173,0.519
4.819,0.181,0.000,0.173,0.519
4.820,0.180,0.000,0.173,0.519
4.822,0.178,0.000,0.173,0.519
4.824,0.176,0.000,0.173,0.519
4.826,0.174,0.000,0.173,0.519
4.827,0.172,0.000,0.173,0.519
4.829,0.171,0.000,0.173,0.519
4.831,0.169,0.000,0.173,0.519
4.833,0.167,0.000,0.173,0.519
4.834,0.166,0.000,0.173,0.519
4.836,0.164,0.000,0.173,0.519
4.838,0.162,0.000,0.173,0.519
4.839,0.161,0.000,0.173,0.519
4.841,0.159,0.000,0.173,0.519
4.842,0.158,0.000,0.173,0.519
4.844,0.156,0.000,0.173,0.520
4.846,0.154,0.000,0.173,0.520
4.847,0.153,0.000,0.173,0.520
4.849,0.151,0.000,0.173,0.520
4.850,0.150,0.000,0.173,0.520
4.852,0.148,0.000,0.173,0.520
4.853,0.147,0.000,0.173,0.520
4.855,0.145,0.000,0.173,0.520
4.856,0.144,0.000,0.173,0.520
4.857,0.143,0.000,0.173,0.520
4.859,0.141,0.000,0.173,0.520
4.860,0.140,0.000,0.173,0.520
4.862,0.138,0.000,0.173,0.520
4.863,0.137,0.000,0.173,0.520
4.864,0.136,0.000,0.173,0.520
4.866,0.134,0.000,0.173,0.520
4.867,0.133,0.000,0.173,0.520
4.868,0.132,0.000,0.173,0.520
4.870,0.130,0.000,0.173,0.520
4.871,0.129,0.000,0.173,0.520
4.872,0.128,0.000,0.173,0.520
4.874,0.126,0.000,0.173,0.520
4.875,0.125,0.000,0.173,0.520
4.876,0.124,0.000,0.173,0.520
